,Date,Event / Info,Source,Type
,04/19/25,"DHS requests all drafts and final versions of reports by Harvard’s Presidential Task Forces on Antisemitism and Islamophobia.
",https://www.thefp.com/p/harvard-antisemitism-task-force-trump,
,04/20/25,The Wall Street Journal reports that the federal government plans to halt another $1 billion in funding for health research at Harvard.,https://www.wsj.com/us-news/education/trump-administration-irate-at-harvard-will-pull-additional-1-billion-in-funding-8c209113,
,04/21/25,"Harvard files a lawsuit in federal court challenging the government’s freeze of more than $2.2 billion in funding. The 50-page complaint alleges that the freeze was an attempt to pressure the University into accepting sweeping federal demands and that it was imposed without the procedural safeguards required by Title VI and agency regulations. Harvard says the government’s actions threaten not only its constitutional rights, but also its ability to operate as an independent institution.
",https://www.harvard.edu/research-funding/wp-content/uploads/sites/16/2025/04/Harvard-Funding-Freeze-Order-Complaint.pdf,
,04/21/25,"President Garber releases a message to the community regarding Harvard's lawsuit, in which he pledges to release the reports from the Presidential Task Forces on Antisemitism and Islamophobia. In his message, he describes the reports as “hard-hitting and painful,” but said they contain “recommendations with concrete plans for implementation, which we welcome and embrace.”",https://www.harvard.edu/president/news/2025/upholding-our-values-defending-our-university/,
,04/21/25,"HHS requests that by May 5, Harvard Business School turn over all draft and final reports from its working groups on Antisemitism, Islamophobia and Anti-Arabism, and Free Expression and Community Values.
",https://x.com/SulkinMaya/status/1914684003291942916,
,04/25/25,"""More than 100 protesters gathered in Cambridge Common on Friday evening at a rally accusing Harvard of censoring pro-Palestine speech and scholarship...""",Crimson,
,04/18/25,"Harvard Hillel releases statement saying ""the current, escalating federal assault against Harvard - shuttering apolitical, life-saving research; targeting the university’s tax-exempt status; and threatening all student visas, including those of Israeli students who are proud veterans of the Israel Defense Forces and forceful advocates for Israel on campus - is neither focused nor measured, and stands to substantially harm the very Jewish students and scholars it purports to protect.""",Hillel IG,
,,"ADL says ""However, any actions taken to address campus antisemitism — including the potential withholding of federal funding — must be grounded in clear evidence and conducted in a manner consistent with Title VI procedures and other laws. The penalty should be proportionate and reasonably calculated to address the antisemitism on these campuses and to protect the rights of Jewish students on campus. Denying federal funds (whether in part or in total) is an extremely serious and rightfully rare punishment that should be used only in the most severe situations with institutions incapable or unwilling to improve.""",ADL,
,4/24/25,Garber announces new policy by which discipline involving multiple schools will be handled through a centralized process,https://www.thecrimson.com/article/2025/4/25/protest-panel-president/,
,,students in kefiyyehs protest outside Hillel & in Annenberg on Visitas weekend,,
